神采奕奕,自信,,,,,,,
眉飞色舞,自信,,,,,,,
昂首挺胸,自信,自豪,,,,,,
炯炯有神,自信,,,,,,,
精神焕发,自信,,,,,,,
龙马精神,自信,活力,,,,,,
兴高采烈,喜悦,,,,,,,
气宇轩昂,自信,,,,,,,
生龙活虎,活力,,,,,,,
喜笑颜开,喜悦,,,,,,,
心旷神怡,舒适,满意,,,,,,
心花怒放,喜悦,,,,,,,
欢天喜地,喜悦,,,,,,,
乐不可支,喜悦,,,,,,,
满面春风,喜悦,满意,,,,,,
落落大方,自信,,,,,,,
惊慌失措,惊讶,慌张,担忧,,,,,
漫不经,随意,,,,,,,
垂头丧气,沮丧,,,,,,,
没精打采,沮丧,,,,,,,
愁眉苦脸,沮丧,,,,,,,
大惊失色,惊讶,,,,,,,
如坐针毡,担忧,慌张,,,,,,
有气无力,沮丧,,,,,,,
嬉皮笑脸,轻浮,,,,,,,
油腔滑调,轻浮,,,,,,,
悠然自得,随意,,,,,,,
局促不安,慌张,,,,,,,
面红耳赤,着急,害羞,,,,,,
呆若木鸡,发呆,,,,,,,
忐忑不安,无助,慌张,,,,,,
心惊肉跳,惊讶,慌张,,,,,,
心神不安,紧张,慌张,,,,,,
心猿意马,浮躁,,,,,,,
心慌意乱,浮躁,慌张,,,,,,
七上八下,慌张,,,,,,,
心急如焚,着急,,,,,,,
心如刀割,悲伤,,,,,,,
奋不顾身,奋勇,,,,,,,
舍己为人,奋勇,,,,,,,
坚强不屈,坚持,,,,,,,
赤胆忠心,忠心,,,,,,,
不屈不挠,坚持,,,,,,,
忠贞不渝,忠心,,,,,,,
誓死不二,忠心,,,,,,,
威武不屈,忠心,坚持,,,,,,
舍生忘死,忠心,奋勇,,,,,,
克己奉公,克制,忠心,,,,,,
一尘不染,纯洁,,,,,,,
两袖清风,纯洁,清廉,,,,,,
永垂不朽,出色,深刻,敬佩,,,,,
顶天立地,豪迈,,,,,,,
豁达大度,大度,,,,,,,
兢兢业业,专注,克制,勤奋,,,,,
宽宏大量,大度,,,,,,,
光明磊落,清廉,大度,,,,,,
持之以恒,专注,坚持,,,,,,
冰清玉洁,纯洁,,,,,,,
拾金不昧,清廉,,,,,,,
表里如一,虚伪,,,,,,,
卖国求荣,背叛,,,,,,,
恬不知耻,无耻,无耻,,,,,,
贪生怕死,害怕,,,,,,,
厚颜无耻,无耻,,,,,,,
见利忘义,虚伪,,,,,,,
穷凶极恶,残暴,,,,,,,
如狼似虎,残暴,,,,,,,
伤天害理,残暴,,,,,,,
口蜜腹剑,虚伪,,,,,,,
